,shap_values_$\log_{10} (P_{\text{sat}})$,shap_values_$\log_{10} (K_{\text{W}/\text{G}})$,shap_values_$\log_{10} (K_{\text{WIOM}/\text{G}})$,avg_all_targets
MACCS key 107,0.0120119754171938,0.0058874940904447,0.0239072062279799,0.013935558578539467
aldehyde (2+),0.0108499736416913,0.0157742227441907,0.0115561506298121,0.012726782338564701
MACCS key 56,0.0091106517830133,0.0081662012364099,0.0141473654504692,0.010474739489964134
MACCS key 158,0.0091186170876065,0.0081256648834973,0.0141772948870858,0.010473858952729868
aromatic ring (1),0.0041151695824689,0.0112236043335222,0.0150230631962076,0.010120612370732899
MACCS key 162,0.0041654651423719,0.0111588379125927,0.015025405438673,0.0101165694978792
MACCS key 19,0.0085333535927323,0.0086137744100015,0.010360704933662,0.009169277645465266
MACCS key 113,0.0115874353449013,0.0084520162000487,0.0067365328420371,0.008925328128995701
ether (alicyclic) (1),0.0072604073984268,0.0144041374913601,0.0037935252743396,0.008486023388042165
MACCS key 22,0.0051917788788702,0.007537359137527,0.0111684692953231,0.007965869103906767
MACCS key 16,0.0051981704961211,0.007507561750416,0.0111600557733683,0.007955262673301801
MACCS key 105,0.0096427322682839,0.0048452295754402,0.0086556571816715,0.0077145396751318665
non-aromatic ring (2+),0.0096513011566994,0.0048008303814325,0.0086598117795414,0.0077039811058911
alkane CH (1),0.0081104149195172,0.0072635104689022,0.0076140439844294,0.007662656457616267
MACCS key 88,0.0081783647848735,0.0045317921796044,0.009961014297144,0.0075570570872073
MACCS key 156,0.0046026997846816,0.0051601144458542,0.0112415645515588,0.007001459594031534
"ester, all (2+)",0.0022923223203762,0.0105365717948123,0.0073674610235647,0.006732118379584401
MACCS key 110,0.0018193743933287,0.0105840370859737,0.0071784340588677,0.0065272818460567
alkene CH (1),0.0046460065657981,0.0114019595477895,0.0033064392335754,0.006451468449054333
carboxylic acid (2+),0.0046585037873375,0.0077346763730006,0.0042148356664035,0.005536005275580534
MACCS key 133,0.0064773303212828,0.0029417753893988,0.0067143804421312,0.005377828717604266
MACCS key 92,0.0006819419160691,0.0089567290546168,0.0059859140349619,0.0052081950018826
MACCS key 93,0.0040607399757764,0.0074127941718182,0.0039773966098069,0.005150310252467167
MACCS key 120,0.0035256845143254,0.008079755958275,0.0033989583006933,0.005001466257764566
peroxide (1),0.0035203082394116,0.0080119282201023,0.0033963962450066,0.004976210901506834
C=C-C=O in non-aromatic ring (1),0.0027408024440401,0.008257899333122,0.0035542088443777,0.004850970207179933
MACCS key 43,0.0055293969603721,0.0076416871565666,0.0012319285485313,0.004801004221823334
MACCS key 101,0.0039724108047813,0.0060280482074158,0.0037537252576159,0.004584728089937667
aromatic hydroxyl (1),0.005057467121089,0.005859179349997,0.0026631587568897,0.004526601742658567
nitrate (2+),0.0006187728120177,0.0068683568693464,0.0038828438230061,0.0037899911681234
MACCS key 79,0.0021575835412057,0.0050654964227452,0.0036567725398678,0.0036266175012729003
MACCS key 45,0.0042558363369745,0.0020429006238589,0.003584692189959,0.003294476383597467
MACCS key 103,0.0028728675223408,0.0031917460044724,0.0034526332445601,0.003172415590457767
MACCS key 145,0.0029728668202749,0.002888419985444,0.0035765580668598,0.0031459482908595664
MACCS key 135,0.0013750760356232,0.0041298118249312,0.0037477920957461,0.0030842266521001666
aromatic hydroxyl (2+),0.0018130830196008,0.0029289011589917,0.0037138443949705,0.0028186095245209997
MACCS key 86,0.0011355614383158,0.0058639103387509,0.0012396331023032,0.0027463682931232994
MACCS key 46,0.0026829027152628,0.0010327759563338,0.0042621537639846,0.0026592774785270668
MACCS key 60,0.0018299116423741,0.0040946648677508,0.0016514293382107,0.0025253352827785333
MACCS key 61,0.0017995457043057,0.0040828914280003,0.0016825897260649,0.0025216756194569668
MACCS key 67,0.001792979084556,0.0040826470023747,0.0016637019972769,0.0025131093614025337
MACCS key 73,0.0018013455966632,0.0040573614782001,0.0016729257278555,0.0025105442675729334
MACCS key 51,0.0018135199155665,0.0040481740818534,0.0016609604153733,0.0025075514709310665
nitro (2+),0.0023929513348387,0.0013993966338119,0.00338167202943,0.0023913399993602
nitrophenol (2+),0.0019653283475686,0.002471452232962,0.0021193100672684,0.0021853635492663334
nitro (1),0.0008536200460311,0.003134426465119,0.0010942834942805,0.0016941100018102
