,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
3158,C7ECO4DB,CCC(=CC(=O)C(=O)C)C(=O)C=O,,C9H10O4,182.17,PETHTOL,3,9,10,0,4,0,0,0,23,0.44,-0.22,0,0,1,3,0,0,0,0,0,0,0,0,4,2.27,7.03,1.4,1.33,0,1,8.5,10.86,8.83,9.48,6.57,3.24,3.38E-03,0.86,2.27E+04
3159,C5DBCOCO3H,CC(=CC(=O)OO)C(=O)C,,C6H8O4,144.13,UNKNOWN,N/A,6,8,0,4,0,0,0,18,0.67,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1.39,4.75,1.06,1.03,0.31,0.61,6.4,8.48,8.04,8.11,5.86,3.72,1.88E-02,0.8,1.34E+03
3160,HO2MC5OOH,CC(CC(C)O)COO,,C6H14O3,134.17,M2PE,1,6,14,0,3,0,0,0,23,0.5,-1.33,0,1,0,0,0,0,0,0,0,0,0,1,2,0.86,4.56,1.13,0.86,0.63,0.46,6.6,7.52,7.55,8.06,6.38,5.99,1.27E-03,3.6,1.08E+02
3161,H3M3C4CHO,CCC(C)(CC=O)O,,C6H12O2,116.16,M3HEX,2,6,12,0,2,0,0,0,20,0.33,-1.33,0,1,1,0,0,0,0,0,0,0,0,0,2,0.95,4.08,1.03,0.64,0.31,0.42,5.2,5.35,5.3,6.12,5.03,4.47,7.37E-02,1.37,6.20E+01
3162,C1214OOH,CC1(C)CC(C1CCO)(C(=O)CCC=O)OO,,C12H20O5,244.28,BCARY,2,12,20,0,5,0,0,0,37,0.42,-0.83,0,1,1,1,0,0,0,0,0,0,0,1,4,1.9,8.81,1.9,1.49,0.63,1.07,11.5,13.02,11.96,11.64,9.66,8.3,1.14E-06,2.1,5.83E+02
3163,HMVKBPAN,CC(=O)C(CO)C(=O)OON(=O)=O,,C5H7NO7,193.11,LIMONENE,3,5,7,1,7,0,0,0,20,1.4,0.4,0,1,0,1,0,0,0,0,0,1,0,0,3,1.9,5.98,1.19,1.1,0.31,0.68,8,10.12,9.13,9.94,6.48,3.85,7.82E-03,0.46,2.39E+03
3164,HCOCH2CO3H,C(C=O)C(=O)OO,,C3H4O4,104.06,UNKNOWN,N/A,3,4,0,4,0,0,0,11,1.33,1.33,0,0,1,0,0,0,0,0,0,0,1,0,2,1.4,3.54,0.68,0.92,0.31,0.5,5.3,8.28,5.75,6.93,5.26,4.89,6.17E-02,1.01,2.78E+01
3165,C831OH,CC(C)(CC=O)C(CC=O)O,,C8H14O3,158.19,BCARY,2,8,14,0,3,0,0,0,25,0.38,-1,0,1,2,0,0,0,0,0,0,0,0,0,3,1.49,5.79,1.33,0.96,0.31,0.66,7.4,8.17,7.53,8.71,7.07,6.74,8.69E-04,1.07,2.80E+01
3166,HO2CO4CHO,CC(CC(=O)C=O)O,,C5H8O3,116.12,UNKNOWN,N/A,5,8,0,3,0,0,0,16,0.6,-0.4,0,1,1,1,0,0,0,0,0,0,0,0,3,1.48,4.51,0.9,0.93,0.31,0.66,6.2,8.41,6.08,7.78,5.27,4.77,3.37E-02,1.73,6.76E+01
3167,HOBUT2CO3H,CC(CCO)C(=O)OO,,C5H10O4,134.13,UNKNOWN,N/A,5,10,0,4,0,0,0,19,0.8,-0.4,0,1,0,0,0,0,0,0,0,0,1,0,2,1.11,4.42,1,0.95,0.63,0.48,6.7,8.72,7.88,8.14,6.42,5.66,2.19E-03,1.9,1.35E+02
3168,HO3C116NO3,CCCCCC(CCC(CC)O)ON(=O)=O,,C11H23NO4,233.3,NC11H24,1,11,23,1,4,0,0,0,39,0.36,-1.82,0,1,0,0,0,0,0,0,1,0,0,0,2,1.02,7.51,1.95,0.52,0.31,0.4,8.2,4.28,9.22,5.17,8.27,3.36,2.33E-05,2.51,2.47E+06
3169,C118OOH,CC(C)(CC(=O)C(=O)CCO)C(CC=O)OO,,C11H18O6,246.26,BCARY,3,11,18,0,6,0,0,0,35,0.55,-0.55,0,1,1,2,0,0,0,0,0,0,0,1,5,2.36,9.06,1.88,1.78,0.63,1.08,12.4,15.59,11.46,13.85,9.65,8.52,1.12E-06,2.18,3.62E+02
3170,C141OH,C=C(CCO)C1CC(C)(C)C1CCC(=O)C,,C14H24O2,224.34,BCARY,1,14,24,0,2,0,0,0,40,0.14,-1.43,0,1,0,1,0,0,0,0,0,0,0,0,2,0.98,7.76,2,0.78,0.31,0.72,8.5,5.54,9.83,6.75,8.59,6.27,2.57E-05,1.11,2.82E+03
3171,C822CO3H,C=C(C)C(CCC(=O)OO)CC=O,,C9H14O4,186.21,LIMONENE,1,9,14,0,4,0,0,0,27,0.44,-0.67,0,0,1,0,0,0,0,0,0,0,1,0,2,1.41,6.2,1.48,1.04,0.31,0.61,7.7,8.24,7.58,6.43,7.58,4.96,2.95E-04,0.98,4.92E+03
3172,C4H6,C=CC=C,,C4H6,54.09,UNKNOWN,N/A,4,6,0,0,0,0,0,10,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.62,0.59,0.14,0,0.25,1.3,0.18,1.55,-0.46,1.81,-0.31,1.82E+02,0.93,1.49E+03
3173,DIBRETOH,C(C(Br)O)Br,,C2H4Br2O,203.86,DIBRET,1,2,4,0,1,0,0,2,9,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.9,4.15,0.8,0.41,0.5,0.95,5.5,5.42,5.48,5.42,7.7,6.6,7.22E-03,0.03,4.61E+00
3174,CO235C6OOH,CC(=O)C(=O)CC(=O)COO,,C6H8O5,160.12,UNKNOWN,N/A,6,8,0,5,0,0,0,19,0.83,0.33,0,0,0,3,0,0,0,0,0,0,0,1,4,2.09,6.06,1.12,1.44,0.31,0.88,8.4,12.48,8.11,9.84,6.75,5.47,1.31E-03,1.5,3.44E+02
3175,DMEBMUO2H,CCC(=O)C=C(C)C1C(C)(C(=O)O)O1,,C10H14O4,198.22,DIME35EB,2,10,14,0,4,0,0,0,28,0.4,-0.6,0,0,0,1,1,0,1,0,0,0,0,0,3,1.34,6.59,1.51,1.02,0.57,0.75,8.7,9.11,9.65,8.68,10.18,9.4,2.72E-07,2.66,1.97E+02
3176,C5MEJCO3H,CCC(=C(C)C(=O)OO)C(=O)C(C=O)O,,C9H12O6,216.19,OETHTOL,3,9,12,0,6,0,0,0,27,0.67,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1.83,6.71,1.56,1.64,0.41,0.92,9.2,12.61,11.54,12.73,8.17,5.14,1.23E-04,0.61,7.93E+03
3177,CO14O3CO2H,C(=O)COC(=O)C(=O)O,,C4H4O5,132.07,UNKNOWN,N/A,4,4,0,5,0,0,0,13,1.25,1.5,0,0,1,0,1,1,0,0,0,0,0,0,3,1.57,4.3,0.84,0.98,0.57,0.47,7,9.9,7.72,8.11,8.23,8.62,3.87E-05,1.66,8.31E+00
3178,HM23C4NO3,CC(CO)C(C)CON(=O)=O,,C6H13NO4,163.17,M23C4,1,6,13,1,4,0,0,0,24,0.67,-1.67,0,1,0,0,0,0,0,0,1,0,0,0,2,1,5.04,1.25,0.5,0.31,0.41,6,4.66,7.59,6.06,6.21,4.03,3.79E-03,1.77,3.28E+03
3179,C148OH,CC1(C)CC(C1CCC(=O)OC)C(=O)C(CC=O)O,,C14H22O5,270.32,BCARY,2,14,22,0,5,0,0,0,41,0.36,-0.86,0,1,1,1,0,1,0,0,0,0,0,0,4,1.69,8.67,2.14,1.36,0.17,0.84,9.9,9.5,11.05,10.26,11,8.37,1.21E-07,0.92,4.73E+03
3180,COCCOHCOOH,CC(C(C=O)OO)O,,C4H8O4,120.1,C4ALDB,1,4,8,0,4,0,0,0,16,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3,1.34,4.5,0.86,1.24,0.54,0.74,6.8,10.73,7.09,8.68,6.27,6.29,2.23E-03,2.63,3.04E+01
3181,H2M3C4NO3,CC(CON(=O)=O)C(C)O,,C5H11NO4,149.15,UNKNOWN,N/A,5,11,1,4,0,0,0,21,0.8,-1.6,0,1,0,0,0,0,0,0,1,0,0,0,2,1,4.55,1.1,0.5,0.31,0.41,5.6,4.77,6.9,6.08,5.76,3.56,1.40E-02,1.35,2.59E+03
3182,CLCOCLMOOH,CC(C(=O)Cl)(Cl)OO,,C3H4Cl2O3,158.97,CL12PROP,2,3,4,0,3,2,0,0,12,1,1.33,0,0,0,1,0,0,0,0,0,0,0,1,4,1.31,4.14,0.91,0.86,0.31,0.68,5.7,7.52,5.84,5.16,5.68,3.49,2.37E-01,0.1,1.81E+02
3183,CO24C4CHO,CC(=O)CC(=O)C=O,,C5H6O3,114.1,UNKNOWN,N/A,5,6,0,3,0,0,0,14,0.6,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1.72,4.49,0.86,0.93,0,0.66,5.6,7.79,5.46,7.01,5.34,4.35,3.31E-02,1.5,1.80E+02
3184,MXY1OHNO2,Cc1cc(C)c(c(c1)N(=O)=O)O,,C8H9NO3,167.16,MXYL,2,8,9,1,3,0,0,0,21,0.38,-1,1,1,0,0,0,0,0,1,0,0,0,0,2,1.12,5.71,1.23,0.35,0.11,1,5.9,3.74,7.52,4.61,6.19,2.52,7.10E-03,0.99,5.67E+04
3185,C1211CO3H,CC1(C)CC(C1CCC(=O)O)C(=O)CCC(=O)OO,,C13H20O6,272.29,BCARY,3,13,20,0,6,0,0,0,39,0.46,-0.62,0,0,0,1,1,0,0,0,0,0,1,0,3,1.81,9.18,2.05,1.36,0.88,0.85,12.4,12.93,13.32,13.03,12.94,11.29,7.58E-10,1.66,9.10E+02
3186,C5M2OHOPAN,CC(=C(C)C(=O)OON(=O)=O)C(=O)C(C=O)O,,C8H9NO8,247.16,OXYL,3,8,9,1,8,0,0,0,26,1,0.25,0,1,1,1,0,0,0,0,0,1,0,0,4,2.12,7.08,1.59,1.5,0.1,0.9,8.9,11.36,12.1,12.68,7.71,3.24,6.13E-04,0.35,1.25E+05
3187,C4H9CHO,CCCCC=O,,C5H10O,86.13,UNKNOWN,N/A,5,10,0,1,0,0,0,16,0.2,-1.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0.74,3.08,0.83,0.33,0,0.23,3.1,2.14,3.29,2.33,3.14,1.88,1.06E+01,0.75,1.67E+02
3188,HEX2ONE,CCCCC(=O)C,,C6H12O,100.16,NC6H14,1,6,12,0,1,0,0,0,19,0.17,-1.67,0,0,0,1,0,0,0,0,0,0,0,0,1,0.68,3.44,0.97,0.35,0,0.21,3.4,1.96,3.69,2.41,3.94,2.62,1.69E+00,0.75,1.88E+02
3189,INAHCHO,CC(C=O)(C(CON(=O)=O)O)O,,C5H9NO6,179.13,C5H8,3,5,9,1,6,0,0,0,21,1.2,-0.4,0,2,1,0,0,0,0,0,1,0,0,0,4,1.51,5.35,1.18,1.12,0.36,0.76,7.3,9.38,9.15,10.56,7.33,5.47,5.10E-04,0.99,8.96E+02
3190,C6H5CH2OOH,c1ccc(cc1)COO,,C7H8O2,124.14,UNKNOWN,N/A,7,8,0,2,0,0,0,17,0.29,-0.57,1,0,0,0,0,0,0,0,0,0,0,1,1,1.06,4.65,0.97,0.6,0.31,0.82,5.7,5.79,6.59,5.34,6.74,5.51,2.26E-03,0.88,1.84E+02
3191,C118NO3,CC(C)(CC(=O)C(=O)CCO)C(CC=O)ON(=O)=O,,C11H17NO7,275.26,BCARY,3,11,17,1,7,0,0,0,36,0.64,-0.73,0,1,1,2,0,0,0,0,1,0,0,0,5,2.5,9.54,2,1.42,0.31,1.03,11.8,12.72,11.9,12.19,9.47,6.89,2.49E-06,1.49,6.99E+03
3192,C624OH,C=C(C)C(CCO)O,,C6H12O2,116.16,LIMONENE,2,6,12,0,2,0,0,0,20,0.33,-1.33,0,2,0,0,0,0,0,0,0,0,0,0,2,0.72,4.1,1.03,0.69,0.63,0.51,5.9,6.4,6.69,6.93,6.34,6.32,7.42E-04,6.79,8.59E+01
3193,OXYMUCCO2H,CC1(C=CC=O)C(C)(C(=O)O)O1,,C8H10O4,170.16,OXYL,2,8,10,0,4,0,0,0,22,0.5,-0.25,0,0,1,0,1,0,1,0,0,0,0,0,3,1.4,5.65,1.23,0.98,0.57,0.77,7.9,9.26,8.65,8.29,9.27,9.23,2.48E-06,2.4,3.19E+01
3194,PRCOFOROOH,CC(CC(=O)OC=O)OO,,C5H8O5,148.11,UNKNOWN,N/A,5,8,0,5,0,0,0,18,1,0.4,0,0,0,0,0,2,0,0,0,0,0,1,3,1.38,4.48,1.02,1.04,0.31,0.42,6.2,8.47,7.75,8.76,7.36,6.34,5.03E-04,0.95,1.20E+02
3195,C615CO,CC(C)(C=O)C(=O)C=O,,C6H8O3,128.13,BPINENE,3,6,8,0,3,0,0,0,17,0.5,-0.33,0,0,2,1,0,0,0,0,0,0,0,0,3,1.71,4.78,1,0.96,0,0.66,5.9,7.72,5.02,5.83,4.99,3.45,1.03E-01,1.08,4.59E+02
3196,OETLMUCCO,CCC1(C=O)C(C)(C(C(=O)C=O)O)O1,,C9H12O5,200.19,OETHTOL,2,9,12,0,5,0,0,0,26,0.56,-0.22,0,1,2,1,0,0,1,0,0,0,0,0,5,1.88,6.78,1.43,1.59,0.09,1.07,8.2,11.58,8.31,9.69,7.75,5.36,2.06E-04,0.95,2.84E+03
3197,C58OOH,CC(CO)(C(C=O)O)OO,,C5H10O5,150.13,C5H8,2,5,10,0,5,0,0,0,20,1,0,0,2,1,0,0,0,0,0,0,0,0,1,4,1.32,5.04,1.06,1.57,0.67,0.85,7.8,12.66,8.95,11.95,7.19,7.87,1.54E-04,4.58,1.16E+01
3198,NC3CO3H,C(=CC(=O)OO)CON(=O)=O,,C4H5NO6,163.09,UNKNOWN,N/A,4,5,1,6,0,0,0,16,1.5,0.5,0,0,0,0,0,0,0,0,1,0,1,0,2,1.52,4.89,1,0.83,0.31,0.61,6.5,7.94,8.16,7.08,6.18,2.95,2.88E-02,0.25,5.13E+03
3199,TM123BPNO3,CC12C=CC(C(C)(C1(C)O)OO2)ON(=O)=O,,C9H13NO6,231.2,TM123B,1,9,13,1,6,0,0,0,29,0.67,-0.67,0,1,0,0,0,0,0,0,1,0,0,1,3,1.32,7.09,1.53,1.17,0.19,1.06,7.9,8.63,9.31,7.07,7.88,4.73,1.73E-04,0.84,1.43E+04
3200,INB1GLYOX,CC(CO)(C(=O)C=O)ON(=O)=O,,C5H7NO6,177.11,C5H8,3,5,7,1,6,0,0,0,19,1.2,0,0,1,1,1,0,0,0,0,1,0,0,0,4,1.94,6.08,1.14,1.17,0.23,0.86,7.9,10.46,7.81,8.87,6.11,3.86,2.07E-02,0.41,8.93E+02
3201,C517NO3,CC(=O)C(CO)CON(=O)=O,,C5H9NO5,163.13,LIMONENE,3,5,9,1,5,0,0,0,20,1,-0.8,0,1,0,1,0,0,0,0,1,0,0,0,3,1.5,5.37,1.12,0.78,0.31,0.61,6.9,7.57,8.52,8.66,6.71,5.27,1.40E-03,1.51,5.13E+02
3202,IPRFORMOH,CC(C)(O)OC=O,,C4H8O3,104.1,UNKNOWN,N/A,4,8,0,3,0,0,0,15,0.75,-0.5,0,1,0,0,0,1,0,0,0,0,0,0,2,0.84,3,0.81,0.66,0.31,0.27,4.3,5.25,4.29,4.89,4.13,3.84,7.21E-01,1.13,2.68E+01
3203,C928PAN,CC(=O)CCC(=O)C(C)(C)CC(=O)OON(=O)=O,,C10H15NO7,261.23,BCARY,2,10,15,1,7,0,0,0,33,0.7,-0.6,0,0,0,2,0,0,0,0,0,1,0,0,3,2.09,8.1,1.86,1.15,0,0.65,9.2,8.96,10.75,9.55,8.68,4.69,3.02E-05,0.76,9.09E+04
3204,C926OOH,CC(=O)CCC(CC=O)(C(=O)C)OO,,C9H14O5,202.2,LIMONENE,2,9,14,0,5,0,0,0,28,0.56,-0.44,0,0,1,2,0,0,0,0,0,0,0,1,4,2.1,7.35,1.54,1.47,0.31,0.88,9.6,12.24,8.57,10.12,8.86,7.69,9.31E-06,1.61,2.96E+02
3205,CH3CHO,CC=O,,C2H4O,44.05,UNKNOWN,N/A,2,4,0,1,0,0,0,7,0.5,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.72,1.59,0.41,0.32,0,0.24,1.8,2.37,2.34,2.91,2.21,2.49,1.08E+02,0.64,4.03E+00
3206,DMEBMUNO3,CCC(=O)C(C(C)(C1C(C)(C=O)O1)ON(=O)=O)O,,C10H15NO7,261.23,DIME35EB,2,10,15,1,7,0,0,0,33,0.7,-0.6,0,1,1,1,0,0,1,0,1,0,0,0,5,1.89,8.02,1.79,1.46,0.09,1.03,9.3,10.65,10.37,10.23,8.7,4.84,2.78E-05,0.79,6.90E+04
3207,C511CHO,CC(=O)C(CC=O)C=O,,C6H8O3,128.13,LIMONENE,3,6,8,0,3,0,0,0,17,0.5,-0.33,0,0,2,1,0,0,0,0,0,0,0,0,3,1.76,5,1,0.95,0,0.69,6.1,7.88,6.22,7.52,5.99,5.64,5.35E-03,2.09,5.71E+01
3208,C7CO2M5OOH,CC(=O)C=CC(C)(C(=O)C)OO,,C8H12O4,172.18,TM124B,2,8,12,0,4,0,0,0,24,0.5,-0.5,0,0,0,2,0,0,0,0,0,0,0,1,3,1.64,6,1.34,1.24,0.31,0.8,7.9,9.98,7.37,7.43,8.53,7.74,1.77E-05,1.82,1.38E+02
3209,C9DCNO3,CC1(C)C2C(=O)CC(=O)C1C2ON(=O)=O,,C9H11NO5,213.19,BPINENE,3,9,11,1,5,0,0,0,26,0.56,-0.67,0,0,0,2,0,0,0,0,1,0,0,0,3,1.82,7.22,1.42,0.86,0,1.04,7.8,7.59,9.7,9.24,8.36,5.89,4.42E-05,1.08,3.87E+03
3210,PINAL,CC(=O)C1CC(CC=O)C1(C)C,,C10H16O2,168.23,APINENE,1,10,16,0,2,0,0,0,28,0.2,-1.2,0,0,1,1,0,0,0,0,0,0,0,0,2,1.24,5.98,1.44,0.71,0,0.65,6.3,5.01,6.52,5.67,7.63,6.62,3.68E-04,0.69,8.66E+01
3211,C1212NO3,CC1(C)CC(C1CCC(=O)O)(C(=O)CCO)OON(=O)=O,,C12H19NO8,305.28,BCARY,3,12,19,1,8,0,0,0,40,0.67,-0.67,0,1,0,1,1,0,0,0,1,0,0,1,5,2.08,9.92,2.13,1.38,0.88,0.99,13.3,13.74,14.28,13.5,12.23,9.86,2.17E-09,3,8.45E+03
3212,C922OOH,CC(C)(C(CC(=O)C(=O)CO)CO)OO,,C9H16O6,220.22,APINENE,1,9,16,0,6,0,0,0,31,0.67,-0.44,0,2,0,2,0,0,0,0,0,0,0,1,5,1.86,7.44,1.64,1.76,0.8,0.98,11,14.94,10.8,13.27,10.42,10.2,9.73E-08,4.29,8.78E+01
3213,EOCOCH2OOH,CCOC(=O)COO,,C4H8O4,120.1,UNKNOWN,N/A,4,8,0,4,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1.01,3.57,0.86,0.85,0.31,0.31,5,6.71,5.72,5.44,5.55,4.9,2.90E-02,1.05,5.77E+01
3214,C6PAN2,CCC(=O)CCC(=O)OON(=O)=O,,C6H9NO6,191.14,UNKNOWN,N/A,6,9,1,6,0,0,0,22,1,-0.33,0,0,0,1,0,0,0,0,0,1,0,0,2,1.65,5.75,1.28,0.8,0,0.46,6.6,6.57,8.23,7.07,6.63,2.98,3.99E-03,0.64,3.53E+04
3215,C6PAN3,CCCC(C)C(=O)OON(=O)=O,,C6H11NO5,177.16,M2PE,2,6,11,1,5,0,0,0,23,0.83,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1.14,4.93,1.26,0.53,0,0.26,5.3,3.8,5.94,3.41,4.42,-0.45,3.77E-01,1.11,9.97E+05
3216,C6PAN1,CCC(CCC(=O)OON(=O)=O)O,,C6H11NO6,193.15,UNKNOWN,N/A,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.41,5.77,1.32,0.8,0.31,0.46,7.2,7.19,8.54,7.8,6.59,3.17,3.37E-03,0.84,2.66E+04
3217,C6PAN6,CCC(=O)C(C)C(=O)OON(=O)=O,,C6H9NO6,191.14,M2PE,3,6,9,1,6,0,0,0,22,1,-0.33,0,0,0,1,0,0,0,0,0,1,0,0,2,1.63,5.63,1.28,0.83,0,0.47,6.5,6.62,7.26,6.2,5.51,1.55,5.92E-02,0.57,6.38E+04
3218,C6PAN7,CC(C(=O)C(=O)C)C(=O)OON(=O)=O,,C6H7NO7,205.12,M2PE,3,6,7,1,7,0,0,0,21,1.17,0.33,0,0,0,2,0,0,0,0,0,1,0,0,3,2.12,6.34,1.29,1.14,0,0.68,7.7,9.5,8.2,8.38,6.17,1.81,1.90E-02,0.39,1.09E+05
3219,C6PAN4,CC(CC(C)O)C(=O)OON(=O)=O,,C6H11NO6,193.15,M2PE,2,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.4,5.65,1.32,0.83,0.31,0.47,7.2,7.27,8.31,7.71,6.61,3.41,2.92E-03,0.91,1.77E+04
3220,C622CO2H,C=C(C)C(CC(=O)O)CO,,C7H12O3,144.17,LIMONENE,2,7,12,0,3,0,0,0,22,0.43,-0.86,0,1,0,0,1,0,0,0,0,0,0,0,2,0.89,4.86,1.19,0.74,0.88,0.48,7.5,7.94,7.88,8.05,8.12,8.81,1.04E-05,8,2.01E+01
3221,C1212OH,CC1(C)CC(C1CCC(=O)O)(C(=O)CCO)O,,C12H20O5,244.28,BCARY,3,12,20,0,5,0,0,0,37,0.42,-0.83,0,2,0,1,1,0,0,0,0,0,0,0,4,1.41,8.06,1.9,1.32,1.06,0.89,11.6,12.46,13.49,15.05,11.84,11.33,2.28E-09,6.89,2.77E+02
3222,C6PAN8,CC(C)(CCC(=O)OON(=O)=O)O,,C6H11NO6,193.15,M2PE,2,6,11,1,6,0,0,0,24,1,-0.67,0,1,0,0,0,0,0,0,0,1,0,0,2,1.36,5.55,1.32,0.81,0.31,0.44,7,7.03,8.2,7.82,6.47,3.23,4.09E-03,0.91,1.92E+04
3223,C6PAN9,CC(C)(C(=O)CC(=O)OON(=O)=O)O,,C6H9NO7,207.14,UNKNOWN,N/A,6,9,1,7,0,0,0,23,1.17,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1.63,5.62,1.34,1.11,0.17,0.57,7.2,8.57,8.95,9.09,6.43,3.21,8.61E-03,0.47,9.48E+03
3224,PROLNO3,CC(CON(=O)=O)O,,C3H7NO4,121.09,UNKNOWN,N/A,3,7,1,4,0,0,0,15,1.33,-1.33,0,1,0,0,0,0,0,0,1,0,0,0,2,0.94,3.77,0.82,0.56,0.23,0.44,4.6,4.97,6.21,5.93,4.92,3.61,1.00E-01,1.3,3.25E+02
3225,BUT2OL,CCC(C)O,,C4H10O,74.12,UNKNOWN,N/A,4,10,0,1,0,0,0,15,0.25,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.44,2.47,0.73,0.34,0.31,0.21,3.2,2.74,3.5,3.33,3.56,3.24,9.27E-01,3.21,8.34E+01
3226,C6EO2HCO3H,CCC(=CC(=O)C(C(=O)C)O)C(=O)OO,,C9H12O6,216.19,METHTOL,3,9,12,0,6,0,0,0,27,0.67,0,0,1,0,2,0,0,0,0,0,0,1,0,4,1.83,6.71,1.56,1.64,0.41,0.92,9.2,12.61,11.6,12.58,8.22,4.87,9.74E-05,0.68,1.86E+04
3227,C54CHO,CCCC(C)C=O,,C6H12O,100.16,M2PE,1,6,12,0,1,0,0,0,19,0.17,-1.67,0,0,1,0,0,0,0,0,0,0,0,0,1,0.72,3.46,0.97,0.36,0,0.24,3.5,2.1,3.46,2.13,3.72,1.92,2.40E+00,0.87,6.68E+02
3228,C5COHOCO3H,CC(=O)C(=O)C(C)(C(=O)OO)O,,C6H8O6,176.12,UNKNOWN,N/A,6,8,0,6,0,0,0,20,1,0.67,0,1,0,2,0,0,0,0,0,0,1,0,4,1.72,5.15,1.18,1.56,0.41,0.76,7.7,12.15,7.77,8.74,6.86,5.29,5.58E-03,0.27,1.24E+02
3229,MVK,C=CC(=O)C,,C4H6O,70.09,C5H8,1,4,6,0,1,0,0,0,11,0.25,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.73,2.39,0.64,0.39,0,0.34,2.5,2.55,3.09,2.87,3.54,3.27,4.81E+00,0.68,1.51E+01
3230,NMEBFUOOH,CCC1C(C(C)(C(=O)O1)OO)ON(=O)=O,,C7H11NO7,221.16,UNKNOWN,N/A,7,11,1,7,0,0,0,26,1,-0.29,0,0,0,0,0,1,0,0,1,0,0,1,3,2.31,7.18,1.41,1.18,0.31,0.78,9.5,11.39,10.07,8.89,8.82,5.93,5.40E-05,0.31,2.90E+03
3231,NBUACANO3,CC(CCOC(=O)C)ON(=O)=O,,C6H11NO5,177.16,NBUTACET,1,6,11,1,5,0,0,0,23,0.83,-1,0,0,0,0,0,1,0,0,1,0,0,0,2,1.14,4.93,1.26,0.53,0,0.26,5.3,3.8,6.49,4.22,6.3,3.54,6.34E-03,0.86,6.03E+03
3232,HO2C54CO3H,CC(CC(C)O)C(=O)OO,,C6H12O4,148.16,M2PE,2,6,12,0,4,0,0,0,22,0.67,-0.67,0,1,0,0,0,0,0,0,0,0,1,0,2,1.1,4.8,1.15,0.98,0.63,0.49,7.1,8.69,7.69,8.01,6.83,5.53,9.35E-04,1.74,4.20E+02
3233,HEX2ONAOOH,CCC(CC(=O)C)OO,,C6H12O3,132.16,UNKNOWN,N/A,6,12,0,3,0,0,0,21,0.5,-1,0,0,0,1,0,0,0,0,0,0,0,1,2,1.09,4.54,1.09,0.86,0.31,0.46,5.9,6.84,6.1,6.51,6.5,5.84,2.75E-03,1.26,7.11E+01
3234,C61CHO,CCCC(=O)C(=O)C(C=O)O,,C7H10O4,158.15,UNKNOWN,N/A,7,10,0,4,0,0,0,21,0.57,-0.29,0,1,1,2,0,0,0,0,0,0,0,0,4,1.66,5.25,1.2,1.24,0.1,0.75,6.7,9.18,6.99,8.53,6.73,4.75,1.89E-03,1.08,1.25E+03
3235,NPXYOL1OOH,Cc1ccc(C)c(c1N(=O)=O)OO,,C8H9NO4,183.16,PXYL,3,8,9,1,4,0,0,0,22,0.5,-0.75,1,0,0,0,0,0,0,1,0,0,0,1,2,1.51,6.58,1.29,0.7,0.31,1.14,7.8,7.36,9.61,7.47,7.13,3.81,1.11E-03,0.73,1.86E+04
3236,C8O2OHCO3H,CC(C)C(=CC(=O)OO)C(=O)C(C=O)O,,C9H12O6,216.19,IPBENZ,3,9,12,0,6,0,0,0,27,0.67,0,0,1,1,1,0,0,0,0,0,0,1,0,4,1.87,6.73,1.56,1.66,0.41,0.95,9.3,12.8,11.44,12.49,7.94,4.42,2.60E-04,0.48,1.95E+04
