,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
60,CO25C74OOH,CCC(=O)C(CC(=O)C)OO,,C7H12O4,160.17,UNKNOWN,N/A,7,12,0,4,0,0,0,23,0.57,-0.57,0,0,0,2,0,0,0,0,0,0,0,1,3,1.59,5.74,1.24,1.17,0.31,0.67,7.5,9.63,7.35,7.83,7.67,6.94,1.43E-04,1.63,1.07E+02
61,C1010OOH,C=C(CCC=O)C(=O)CC(C)(C)OO,,C10H16O4,200.23,BCARY,2,10,16,0,4,0,0,0,30,0.4,-0.8,0,0,1,1,0,0,0,0,0,0,0,1,3,1.61,6.94,1.62,1.24,0.31,0.77,8.7,9.68,8.7,8.96,8.91,7.5,1.46E-05,0.93,2.93E+02
62,DIIPRETOH,CC(C)OC(C)(C)O,,C6H14O2,118.17,DIIPRETHER,1,6,14,0,2,0,0,0,22,0.33,-1.67,0,1,0,0,0,0,1,0,0,0,0,0,2,0.54,3.5,1.07,0.59,0.31,0.23,4.4,3.88,4.3,3.92,4.98,4.06,4.41E-02,2.6,2.63E+02
63,C46PAN,C=C(CCO)C(=O)OON(=O)=O,,C5H7NO6,177.11,BCARY,3,5,7,1,6,0,0,0,19,1.2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1.42,5.19,1.14,0.84,0.31,0.56,6.7,7.59,9.01,8.25,6.22,3.68,6.88E-03,0.96,4.07E+03
64,TMB2FUOOH,CC1C(C)(C(C)(C(=O)O1)OO)O,,C7H12O5,176.17,TM123B,2,7,12,0,5,0,0,0,24,0.71,-0.29,0,1,0,0,0,1,0,0,0,0,0,1,3,1.87,6.25,1.24,1.47,0.5,0.83,8.9,12.73,9.3,10.47,10.06,9.93,7.39E-07,1.29,2.11E+01
65,H3C25CCO3H,CC(=O)C(CC(=O)CC(=O)OO)O,,C7H10O6,190.15,UNKNOWN,N/A,7,10,0,6,0,0,0,23,0.86,0.29,0,1,0,2,0,0,0,0,0,0,1,0,4,1.88,6.18,1.32,1.56,0.48,0.82,8.9,12.9,10.41,12.37,9.2,8.16,2.01E-06,3.44,4.60E+02
66,ETBEAOH,CCOC(C)(C)CO,,C6H14O2,118.17,ETBE,1,6,14,0,2,0,0,0,22,0.33,-1.67,0,1,0,0,0,0,1,0,0,0,0,0,2,0.49,3.71,1.07,0.66,0.23,0.26,4.2,3.95,4.87,4.4,4.68,3.85,1.56E-01,1.47,1.22E+02
67,C126NO3,C=C(CCON(=O)=O)C1CC(C)(C)C1CC=O,,C12H19NO4,241.28,BCARY,2,12,19,1,4,0,0,0,36,0.33,-1.33,0,0,1,0,0,0,0,0,1,0,0,0,2,1.32,7.77,1.9,0.61,0,0.73,7.8,4.41,8.9,4.91,8.53,4.24,3.06E-05,1.07,2.51E+05
68,C823OOH,C=C(C)C(CCC(=O)O)COO,,C8H14O4,174.19,LIMONENE,1,8,14,0,4,0,0,0,26,0.5,-0.75,0,0,0,0,1,0,0,0,0,0,0,1,2,1.05,5.73,1.38,0.96,0.88,0.52,8.6,9.32,9.76,9.86,8.84,7.84,1.37E-05,1.15,1.40E+02
69,C88OOH,CC1(C)C(=O)CCC(=O)C1OO,,C8H12O4,172.18,BPINENE,3,8,12,0,4,0,0,0,24,0.5,-0.5,0,0,0,2,0,0,0,0,0,0,0,1,3,1.62,6.18,1.28,1.18,0.31,0.87,7.9,9.89,8.64,9.22,8.23,7.54,3.91E-05,1.64,9.82E+01
70,C1013CO2H,CC1(C)CC(C1CCC(=O)OC)C(=O)O,,C11H18O4,214.26,BCARY,2,11,18,0,4,0,0,0,33,0.36,-0.91,0,0,0,0,1,1,0,0,0,0,0,0,2,1.04,6.64,1.7,0.78,0.57,0.44,8.4,6.85,9.18,7.87,9.8,8.08,1.03E-06,1.7,1.09E+03
71,M2BKAOOH,CC(C(=O)C)C(C)OO,,C6H12O3,132.16,M3PE,2,6,12,0,3,0,0,0,21,0.5,-1,0,0,0,1,0,0,0,0,0,0,0,1,2,1.08,4.42,1.09,0.89,0.31,0.47,5.8,6.92,6.01,6.57,6.52,6.28,1.72E-03,1.9,4.08E+01
