substrate,well,dioxazolone,OH,product,yield (%),predicted
A24-C20,W1344,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC(C)C1=C(C=CC=C2)C2=CC=C1,CC(OC(NCC1=CC=C(Cl)C=C1)=O)C2=C(C=CC=C3)C3=CC=C2,38,43.4940834
A24-C21,W1345,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC(C1=CC=CC=C1)C2=CC=CC=C2,O=C(NCC1=CC=C(Cl)C=C1)OC(C2=CC=CC=C2)C3=CC=CC=C3,44,42.53644943
A24-C22,W1346,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC(C1=CC=C(OC)C=C1)C2=CC=C(OC)C=C2,COC(C=C1)=CC=C1C(OC(NCC2=CC=C(Cl)C=C2)=O)C3=CC=C(OC)C=C3,37,44.90438461
A24-C23,W1347,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CC(O)(C)C1=CC=CC=C1,CC(OC(NCC1=CC=C(Cl)C=C1)=O)(C)C2=CC=CC=C2,45,45.57720184
A24-C24,W1348,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=CC=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OCCC2=CC=CC=C2,55,63.36697388
A24-C25,W1349,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CC(C)(C)C1=CC=C(CCO)C=C1,CC(C)(C)C1=CC=C(CCOC(NCC2=CC=C(Cl)C=C2)=O)C=C1,43,34.2588768
A24-C26,W1350,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,COC1=CC=C(CCO)C=C1,COC1=CC=C(CCOC(NCC2=CC=C(Cl)C=C2)=O)C=C1,46,42.43778992
A24-C27,W1351,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,FC1=CC=C(CCO)C=C1,FC1=CC=C(CCOC(NCC2=CC=C(Cl)C=C2)=O)C=C1,62,66.0786972
A24-C28,W1352,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,BrC1=CC=C(CCO)C=C1,BrC1=CC=C(CCOC(NCC2=CC=C(Cl)C=C2)=O)C=C1,50,63.60429382
A24-C29,W1353,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=CC=CC(Br)=C1,BrC1=CC(CCOC(NCC2=CC=C(Cl)C=C2)=O)=CC=C1,59,64.81889343
A24-C30,W1354,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=CC=C([N+]([O-])=O)C=C1,O=C(OCCC1=CC=C([N+]([O-])=O)C=C1)NCC2=CC=C(Cl)C=C2,36,30.21485901
A24-C31,W1355,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=C(C=CC=C2)C2=CC=C1,O=C(OCCC1=C(C=CC=C2)C2=CC=C1)NCC3=CC=C(Cl)C=C3,39,40.74394608
A24-C32,W1356,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=CC=CS1,O=C(NCC1=CC=C(Cl)C=C1)OCCC2=CC=CS2,55,61.10984421
A24-C33,W1357,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCC1=CC=CC=N1,O=C(NCC1=CC=C(Cl)C=C1)OCCC2=CC=CC=N2,53,62.37030792
A24-C34,W1358,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCCC1=C(Br)C=CC=C1,BrC1=C(CCCOC(NCC2=CC=C(Cl)C=C2)=O)C=CC=C1,42,44.33447647
A24-C35,W1359,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC(C)C1=CC=CC=C1,CC(COC(NCC1=CC=CC=C1)=O)C2=CC=C(Cl)C=C2,39,35.08143234
A24-C36,W1360,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC#CC1=CC=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OCC#CC2=CC=CC=C2,68,63.85513687
A24-C37,W1361,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCOC1=CC=CC=C1,O=C(NCC1=CC=C(Cl)C=C1)OCCOC2=CC=CC=C2,59,62.73078156
A24-C38,W1362,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC1CCCC1,O=C(NCC1=CC=C(Cl)C=C1)OC2CCCC2,60,63.7684021
A24-C39,W1363,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC1CCCCC1,O=C(NCC1=CC=C(Cl)C=C1)OCC2CCCCC2,46,49.45899963
A24-C40,W1364,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CN(CCO)CC1=CC=CC=C1,CN(CCOC(NCC1=CC=C(Cl)C=C1)=O)CC2=CC=CC=C2,33,33.33974838
A24-C41,W1365,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,C=CCCO,C=CCCOC(NCC1=CC=C(Cl)C=C1)=O,50,56.10168076
A24-C42,W1366,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC(C=C)(CC/C=C(C)/C)C,CC(C=C)(CC/C=C(C)/C)OC(NCC1=CC=C(Cl)C=C1)=O,33,44.97185516
A24-C43,W1367,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OC/C=C(C)/CC/C=C(C)/C,C/C(CC/C=C(C)/C)=C\COC(NCC1=CC=C(Cl)C=C1)=O,58,44.40596771
A24-C44,W1368,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CCCCC/C=C/CO,CCCCC/C=C/COC(NCC1=CC=C(Cl)C=C1)=O,49,59.61210251
A24-C45,W1369,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCC#CC,CC#CCOC(NCC1=CC=C(Cl)C=C1)=O,52,57.18348694
A24-C46,W1370,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,ICCCO,ICCCOC(NCC1=CC=C(Cl)C=C1)=O,50,52.65972519
A24-C47,W1371,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,OCCCCCCCBr,BrCCCCCCCOC(NCC1=CC=C(Cl)C=C1)=O,44,56.68994522
A24-C48,W1372,ClC1=CC=C(CC(O2)=NOC2=O)C=C1,CCCCCO,CCCCCOC(NCC1=CC=C(Cl)C=C1)=O,45,54.58202744
