substrate,well,dioxazolone,OH,product,yield (%),predicted
A17-B4,W77,O=C(O1)ON=C1CCCC2=CNC3=C2C=CC=C3,OC1=C(C(C)C)C=CC=C1,O=C(NCCCC1=CNC2=C1C=CC=C2)OC3=C(C(C)C)C=CC=C3,29,29.15966415
A18-B4,W78,O=C(O1)ON=C1CCCC,OC1=C(C(C)C)C=CC=C1,O=C(NCCCC)OC1=C(C(C)C)C=CC=C1,28,28.16328621
A19-B4,W79,O=C(O1)ON=C1C2C3C(C(OC)=O)C2C3,OC1=C(C(C)C)C=CC=C1,O=C(NC1C2C(C(OC)=O)C1C2)OC3=C(C(C)C)C=CC=C3,39,39.04298401
A20-B4,W80,O=C(O1)ON=C1CC2(CC3C4)CC(C3)CC4C2,OC1=C(C(C)C)C=CC=C1,O=C(NCC12CC(CC3C2)CC(C3)C1)OC4=C(C(C)C)C=CC=C4,0,0
A1-B5,W81,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=C(C)C=C1)OC2=C(OC)C=CC=C2,85,84.6505127
A2-B5,W82,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=C(OC)C=CC=C1,O=C(NC1=CC=CC=C1C)OC2=C(OC)C=CC=C2,77,76.93618011
A3-B5,W83,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=CC(C)=C1)OC2=C(OC)C=CC=C2,74,83.68476105
A4-B5,W84,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=C(OC)C=C1)OC2=C(OC)C=CC=C2,77,75.2183609
A5-B5,W85,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=C(OC)C=CC=C2,71,71.08310699
A6-B5,W86,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=C(OC)C=CC=C2,42,52.36182022
A7-B5,W87,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC(C)=CC(C)=C1)OC2=C(OC)C=CC=C2,29,32.74968719
A8-B5,W88,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=C(OC)C=CC=C1,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=C(OC)C=CC=C3,70,76.65425873
A9-B5,W89,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=C(OC)C=CC=C1,O=C(NCC1=CC=CC=C1)OC2=C(OC)C=CC=C2,63,62.14045334
A10-B5,W90,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=C(OC)C=CC=C1,O=C(NCC1=CC=C(F)C=C1)OC2=C(OC)C=CC=C2,50,50.06667709
A11-B5,W91,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=C(OC)C=CC=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=C(OC)C=CC=C2,67,66.7961731
A12-B5,W92,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=C(OC)C=CC=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=C(OC)C=CC=C2,72,70.37453461
A13-B5,W93,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=C(OC)C=CC=C1,O=C(NCC1=C(I)C=CC=C1)OC2=C(OC)C=CC=C2,41,41.10891342
A14-B5,W94,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=C(OC)C=CC=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=C(OC)C=CC=C3,47,47.08586121
A15-B5,W95,O=C(O1)ON=C1CC2=CC=CO2,OC1=C(OC)C=CC=C1,O=C(NCC1=CC=CO1)OC2=C(OC)C=CC=C2,41,41.5186882
A16-B5,W96,O=C(O1)ON=C1CCC2=CC=CC=C2,OC1=C(OC)C=CC=C1,O=C(NCCC1=CC=CC=C1)OC2=C(OC)C=CC=C2,67,67.20358276
A17-B5,W97,O=C(O1)ON=C1CCCC2=CNC3=C2C=CC=C3,OC1=C(OC)C=CC=C1,O=C(NCCCC1=CNC2=C1C=CC=C2)OC3=C(OC)C=CC=C3,33,32.8443718
A18-B5,W98,O=C(O1)ON=C1CCCC,OC1=C(OC)C=CC=C1,O=C(NCCCC)OC1=C(OC)C=CC=C1,32,32.28636932
A19-B5,W99,O=C(O1)ON=C1C2C3C(C(OC)=O)C2C3,OC1=C(OC)C=CC=C1,O=C(NC1C2C(C(OC)=O)C1C2)OC3=C(OC)C=CC=C3,62,61.51749802
A20-B5,W100,O=C(O1)ON=C1CC2(CC3C4)CC(C3)CC4C2,OC1=C(OC)C=CC=C1,O=C(NCC1(CC2C3)CC3CC(C2)C1)OC4=C(OC)C=CC=C4,0,0
A1-B6,W101,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=C(C)C=C1)OC2=CC(N(C)C)=CC=C2,69,74.81430817
A2-B6,W102,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=CC=C1C)OC2=CC(N(C)C)=CC=C2,68,68.57569885
A3-B6,W103,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=CC(C)=C1)OC2=CC(N(C)C)=CC=C2,78,77.74372864
A4-B6,W104,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=C(OC)C=C1)OC2=CC(N(C)C)=CC=C2,79,70.00140381
A5-B6,W105,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=CC(N(C)C)=CC=C2,57,67.04059601
A6-B6,W106,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=CC(N(C)C)=CC=C2,60,52.44364548
A7-B6,W107,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC(C)=CC(C)=C1)OC2=CC(N(C)C)=CC=C2,44,44.24740601
A8-B6,W108,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=CC(N(C)C)=CC=C1,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=CC(N(C)C)=CC=C3,79,79.20000458
A9-B6,W109,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=CC=CC=C1)OC2=CC(N(C)C)=CC=C2,58,57.49203491
A10-B6,W110,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=CC=C(F)C=C1)OC2=CC(N(C)C)=CC=C2,40,41.30880737
A11-B6,W111,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=CC(N(C)C)=CC=C2,62,62.00637054
A12-B6,W112,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=CC(N(C)C)=CC=C2,71,65.03095245
A13-B6,W113,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=C(I)C=CC=C1)OC2=CC(N(C)C)=CC=C2,40,42.7269516
A14-B6,W114,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=CC(N(C)C)=CC=C3,64,50.18829346
A15-B6,W115,O=C(O1)ON=C1CC2=CC=CO2,OC1=CC(N(C)C)=CC=C1,O=C(NCC1=CC=CO1)OC2=CC(N(C)C)=CC=C2,50,49.95758438
A16-B6,W116,O=C(O1)ON=C1CCC2=CC=CC=C2,OC1=CC(N(C)C)=CC=C1,O=C(NCCC1=CC=CC=C1)OC2=CC(N(C)C)=CC=C2,70,69.63115692
A17-B6,W117,O=C(O1)ON=C1CCCC2=CNC3=C2C=CC=C3,OC1=CC(N(C)C)=CC=C1,O=C(NCCCC1=CNC2=C1C=CC=C2)OC3=CC(N(C)C)=CC=C3,34,33.9088707
A18-B6,W118,O=C(O1)ON=C1CCCC,OC1=CC(N(C)C)=CC=C1,O=C(NCCCC)OC1=CC(N(C)C)=CC=C1,35,36.45579147
A19-B6,W119,O=C(O1)ON=C1C2C3C(C(OC)=O)C2C3,OC1=CC(N(C)C)=CC=C1,O=C(NC1C2C(C(OC)=O)C1C2)OC3=CC(N(C)C)=CC=C3,70,68.55531311
A20-B6,W120,O=C(O1)ON=C1CC2(CC3C4)CC(C3)CC4C2,OC1=CC(N(C)C)=CC=C1,O=C(NCC12CC(CC3C2)CC(C3)C1)OC4=CC(N(C)C)=CC=C4,0,0.091137826
A1-B7,W121,O=C(O1)ON=C1C2=CC=C(C)C=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=C(C)C=C1)OC2=CC(NC(C)=O)=CC=C2,73,73.57086945
A2-B7,W122,O=C(O1)ON=C1C2=CC=CC=C2C,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=CC=C1C)OC2=CC(NC(C)=O)=CC=C2,72,71.58892059
A3-B7,W123,O=C(O1)ON=C1C2=CC=CC(C)=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=CC(C)=C1)OC2=CC(NC(C)=O)=CC=C2,76,75.9153595
A4-B7,W124,O=C(O1)ON=C1C2=CC=C(OC)C=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=C(OC)C=C1)OC2=CC(NC(C)=O)=CC=C2,75,75.12054443
A5-B7,W125,O=C(O1)ON=C1C2=CC=C(C(C)(C)C)C=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=C(C(C)(C)C)C=C1)OC2=CC(NC(C)=O)=CC=C2,78,77.01607513
A6-B7,W126,O=C(O1)ON=C1C2=CC=C(C(OC)=O)C=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=C(C(OC)=O)C=C1)OC2=CC(NC(C)=O)=CC=C2,48,48.16526031
A7-B7,W127,O=C(O1)ON=C1C2=CC(C)=CC(C)=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC(C)=CC(C)=C1)OC2=CC(NC(C)=O)=CC=C2,44,44.45537567
A8-B7,W128,O=C(O1)ON=C1C2=CC=C3C(OCCO3)=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NC1=CC=C2C(OCCO2)=C1)OC3=CC(NC(C)=O)=CC=C3,86,85.45239258
A9-B7,W129,O=C(O1)ON=C1CC2=CC=CC=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=CC=CC=C1)OC2=CC(NC(C)=O)=CC=C2,49,49.18551636
A10-B7,W130,O=C(O1)ON=C1CC2=CC=C(F)C=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=CC=C(F)C=C1)OC2=CC(NC(C)=O)=CC=C2,53,52.54554749
A11-B7,W131,O=C(O1)ON=C1CC2=CC=CC=C2Cl,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=C(Cl)C=CC=C1)OC2=CC(NC(C)=O)=CC=C2,59,59.15034866
A12-B7,W132,O=C(O1)ON=C1CC2=CC(Br)=CC=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=CC(Br)=CC=C1)OC2=CC(NC(C)=O)=CC=C2,55,68.63130951
A13-B7,W133,O=C(O1)ON=C1CC2=CC=CC=C2I,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=C(I)C=CC=C1)OC2=CC(NC(C)=O)=CC=C2,44,43.8547554
A14-B7,W134,O=C(O1)ON=C1CC2=CC=C(C=CC=C3)C3=C2,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=CC(C=CC=C2)=C2C=C1)OC3=CC(NC(C)=O)=CC=C3,50,50.09302139
A15-B7,W135,O=C(O1)ON=C1CC2=CC=CO2,OC1=CC(NC(C)=O)=CC=C1,O=C(NCC1=CC=CO1)OC2=CC(NC(C)=O)=CC=C2,47,46.82071686
