,SMILES,#C,#H,#N,#O,#S,Molar mass (g/mol),Measured C0 (μg/m3),Estimated C0 (μg/m3),Measured Tm (K),Estimated Tm (K),Estimated Tg (K)
361,CC(C)(C)S(=O)(=O)CS(=O)(=O)C(C)(C)C,9,20,0,4,2,"256,3866",,"216,6140058",,"396,02","277,214"
362,CCSCCS(=O)(=O)CS(=O)(=O)CCSCC,9,20,0,4,4,"320,5186",,"0,529520979",,"444,05","310,835"
363,CCOCCS(=O)(=O)CS(=O)(=O)CCOCC,9,20,0,6,2,"288,3854",,"9,885627921",,"419,37","293,559"
364,O=CC1=CSC2=C1C=CC=C2,9,6,0,1,1,"162,2118",,"5822,370471",,"350,86","245,602"
365,O=C1C=CSC2=C1C=CC=C2,9,6,0,1,1,"162,2118",,"12220,86756",,"349,07","244,349"
366,O=C1SSC(=C1)C2=CC=CC=C2,9,6,0,1,2,"194,2778",,"874,0192795",,"379,12","265,384"
367,O=C(C1=CC=CS1)C2=CC=CS2,9,6,0,1,2,"194,2778",,"1202,299248","363,15","370,53","254,205"
368,OC(=O)C1=CC2=CC=CC=C2S1,9,6,0,2,1,"178,2112",,"167,8280705",,"396,85","277,795"
369,OC(C1=CC=CS1)C2=CC=CS2,9,8,0,1,2,"196,2936",,"50,38671873",,"374,59","262,213"
370,OC(=O)C(=S)CC1=CC=CC=C1,9,8,0,2,1,"180,227",,"593,5575507",,"378,69","265,083"
371,O=S(=O)(CC#C)C1=CC=CC=C1,9,8,0,2,1,"180,227",,"3918,255727",,"362,4","253,68"
372,OC(=O)CSC(=S)C1=CC=CC=C1,9,8,0,2,2,"212,293",,"61,46239908",,"402,15","281,505"
373,CC(=O)SC1=C(C=CC=C1)C(O)=O,9,8,0,3,1,"196,2264",,"187,961541",,"390,8","273,56"
374,OC(=O)CSC1=C(C=CC=C1)C(O)=O,9,8,0,4,1,"212,2258",,"1,080390792","489,15","429,82","342,405"
375,OC(=O)CSC1=C(C=CC=C1)C(O)=O,9,8,0,4,1,"212,2258",,"1,080390792",,,
376,CCOC1=CC2=C(C=C1)C(=CS2)O,10,10,0,2,1,"194,2538",,"134,8499506",,"387,37","271,159"
377,COC1=CC=C(CC(=S)C(O)=O)C=C1,10,10,0,3,1,"210,2532",,"106,6954416",,"400,85","280,595"
378,CS(=O)(=O)C1=CC=C(C=CC(O)=O)C=C1,10,10,0,4,1,"226,2526",,"10,82397792",,"418,92","293,244"
379,COC1=CC(=CC=C1O)CC(=S)C(O)=O,10,10,0,4,1,"226,2526",,"1,643686187",,"432,66","302,862"
