,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
53,4096,3,8,16,0.05643929031312589,0.0261506593434343,0.9941081473397503,0.3457704905092845,0.2519393827961226,0.9424470548934993,0.009999999999999998,0.0010000000000000002,-0.3617159962282539
21,2048,2,8,4,0.10632105956729425,0.034389339605141074,0.9922503166055782,0.34704202108877985,0.2403074143693508,0.9449824011658412,0.009999999999999998,0.0010000000000000002,-0.3596335327250017
22,2048,2,8,8,0.08183161532922975,0.027103860529833566,0.9938925300420947,0.35033025857127986,0.2508008000133623,0.9425633922244432,0.009999999999999998,0.0010000000000000002,-0.3653040522826489
11,2048,1,6,16,0.10443950190826227,0.037786363181122655,0.9914836367883929,0.353048766640387,0.25744185434849065,0.9409462665805834,0.009999999999999998,0.0010000000000000002,-0.36857695218865427
63,8192,1,6,4,0.15559656436541358,0.06642115241618488,0.9850408296880433,0.353100713102692,0.2599838449838564,0.9403665497656242,0.0082,0.0010000000000000002,-0.360312904509558
70,8192,3,6,8,0.13406579434055105,0.06104197327530262,0.9862441674964078,0.35415342820824075,0.2735595420233738,0.9373581500144332,0.009999999999999998,0.0010000000000000002,-0.37007044595300315
36,4096,1,6,4,0.1589476902066323,0.0681324873290152,0.9846555452383651,0.35506328832781364,0.26002626037829574,0.9403700116202884,0.0082,0.0010000000000000002,-0.36240314493301706
10,2048,1,6,8,0.13899555835998648,0.05342233160481632,0.9879599365442516,0.35537726793984936,0.2609047602899851,0.9401129736364242,0.009999999999999998,0.0010000000000000002,-0.36873503041581707
44,4096,3,6,16,0.09719166310664747,0.04412748013819379,0.9900556531560107,0.3556947440296324,0.277788673473758,0.9364336173865295,0.009999999999999998,0.0010000000000000002,-0.37096255253445787
71,8192,3,6,16,0.09077342575996053,0.042061596112616416,0.9905211853505002,0.3557255324925562,0.2813963073255564,0.9355933722625556,0.009999999999999998,0.0010000000000000002,-0.3715912384372978
66,8192,2,6,4,0.16946890691275981,0.07628963722364865,0.9828219591873815,0.35747067342066347,0.26614128484064203,0.9389738824695231,0.0091,0.0010000000000000002,-0.3656209944114555
43,4096,3,6,8,0.13922036896092027,0.06352564355934916,0.9856844180479373,0.3588492636971035,0.2770204674421107,0.9365568484091883,0.009999999999999998,0.0010000000000000002,-0.3734242291079848
14,2048,2,6,16,0.10655671012105157,0.04086341161702135,0.9907902662329381,0.3589321928810171,0.2689330212403136,0.9383174076672814,0.009999999999999998,0.0010000000000000002,-0.37343720454560836
13,2048,2,6,8,0.14199057516577876,0.057642200350721685,0.9870091813929172,0.3598995743057843,0.2709836010196373,0.9378219713713722,0.009999999999999998,0.0010000000000000002,-0.3727686023652358
39,4096,2,6,4,0.1831172162044346,0.08342919562514803,0.9811979727584956,0.36039431965526525,0.2670612546919239,0.9387248530029566,0.009999999999999998,0.0010000000000000002,-0.3692486242608025
9,2048,1,6,4,0.13765420729347827,0.05738165502785397,0.9870744972888449,0.3606239261018914,0.2709641137391211,0.9378174189593341,0.0055000000000000005,0.0010000000000000002,-0.37318157298329424
24,2048,3,8,4,0.11631233539777057,0.04915893090818867,0.9889231620418032,0.3608671964466748,0.2651868269187133,0.9393745624641848,0.009999999999999998,0.0010000000000000002,-0.3767356101090046
25,2048,3,8,8,0.09126130841523439,0.03910714650478049,0.9911886240589537,0.3683780992296967,0.27757159334855674,0.9365472721521997,0.009999999999999998,0.0010000000000000002,-0.3827696611351465
17,2048,3,6,16,0.1140818300757904,0.050338988629383206,0.9886558362216972,0.3684234862036099,0.2863826699562271,0.9344452236088276,0.009999999999999998,0.0010000000000000002,-0.3848171368479488
69,8192,3,6,4,0.17113616092482214,0.08508637326869879,0.9808385354981224,0.369933559098796,0.28991893262736906,0.9336350859114251,0.0082,0.0010000000000000002,-0.3793701825179296
12,2048,2,6,4,0.18248583604147334,0.0837814215577202,0.9811355259123618,0.3721556171786765,0.28350785202254924,0.934996953288764,0.0091,0.0010000000000000002,-0.3793070989336784
16,2048,3,6,8,0.15119857844362256,0.06910327190983498,0.9844274660839645,0.3723554125147387,0.29109477270131107,0.9333377118370381,0.009999999999999998,0.0010000000000000002,-0.38509426188882334
42,4096,3,6,4,0.16460811717789842,0.08145409876049678,0.9816559042362701,0.37535139500433057,0.2957648878699567,0.9323037193052492,0.007299999999999999,0.0010000000000000002,-0.3829606051335346
15,2048,3,6,4,0.1927955714282636,0.0977332000523463,0.9779940517134802,0.3833148062985914,0.304125862223302,0.9303900935333079,0.0091,0.0010000000000000002,-0.39187036328709485
20,2048,1,8,16,0.08342476899816177,0.032371185279093724,0.9927051483439293,0.3865219095875352,0.301590049174921,0.9308219301933021,0.009999999999999998,0.0010000000000000002,-0.40748891240087526
23,2048,2,8,16,0.08526783512548328,0.035089709988171125,0.9920925466659822,0.39225730077386894,0.31345244927904997,0.928097121204978,0.009999999999999998,0.0010000000000000002,-0.4139822246662911
26,2048,3,8,16,0.09251459979384985,0.04438120242088225,0.9899996629264516,0.4085788369908627,0.33640743039922566,0.9229792418493572,0.009999999999999998,0.0010000000000000002,-0.4303573255934209
27,4096,1,4,4,0.3333782174317834,0.3058572768099556,0.9310709519067369,0.5689616081932085,0.6414691819153371,0.8528924103793398,0.009999999999999998,0.009999999999999998,-0.595524885904285
55,8192,1,4,8,0.3868255174634812,0.3618464598775835,0.9184533187833959,0.5696869303116141,0.6286320697064135,0.8558008546642373,0.0010000000000000002,0.0010000000000000002,-0.5911558359449622
0,2048,1,4,4,0.33607343740069806,0.30797675278425535,0.9305933024059214,0.5697162759447876,0.6418658408813728,0.8527938324802813,0.009999999999999998,0.009999999999999998,-0.5961725669118196
54,8192,1,4,4,0.332938120552621,0.3056469738192799,0.931118337496059,0.5699853404756631,0.6436563239248583,0.8523939258488762,0.009999999999999998,0.009999999999999998,-0.5962574063467262
