,fpsize,minPath,maxPath,nBitsPerHash,MAE_train,MSE_train,r2_train,MAE,MSE,r2,alpha_opt,gamma_opt,best_score
20,4096,1,10,12,10.055955303653166,295.55715444377796,0.9485045567543209,23.441798188922515,1077.607673318421,0.8108249168872008,0.09999999999999994,0.0010000000000000002,-24.765224235462778
3,4096,2,7,6,12.051767071385898,333.22534791616084,0.9419385594174081,23.450128040825017,1014.4923103895906,0.8220239367647425,0.09999999999999994,0.0010000000000000002,-24.405185804195767
55,8192,1,10,8,8.560950236994342,206.27803042659556,0.9640585896002447,23.451372664983353,1034.3573851828637,0.818345492226762,0.009999999999999998,0.00010000000000000002,-24.40481933716333
38,8192,1,7,12,10.178497749789415,252.9052710406864,0.9559334915285849,23.488588168660396,1007.4137095990775,0.8233509848014509,0.009999999999999998,0.00010000000000000002,-24.579477351149855
60,8192,1,11,6,9.004409844910322,227.63737290381226,0.9603367456096118,23.495372619162158,1051.445243461278,0.8153003160605283,0.009999999999999998,0.00010000000000000002,-24.615669680772015
16,4096,2,9,8,9.728102000902464,240.48573338997454,0.9580975859543687,23.499226013398083,1032.8243008283885,0.8186707887669102,0.09999999999999994,0.0010000000000000002,-24.57104476381988
68,8192,1,12,12,8.826579776806833,259.8904660591432,0.9547181274004567,23.50461193742222,1091.0879946146833,0.8085087128700941,0.009999999999999998,0.00010000000000000002,-24.711896793542454
25,4096,1,11,8,10.508209172202799,316.1212966355059,0.9449201264057148,23.511231758698237,1083.2772651059265,0.8098371847920258,0.09999999999999994,0.0010000000000000002,-24.659508453084726
17,4096,2,9,12,9.41390953082682,235.83994480472998,0.9589080777092935,23.551172103011602,1054.2717447142015,0.8148981655466636,0.09999999999999994,0.0010000000000000002,-24.818873560305683
42,8192,1,8,6,10.744720754510148,286.2089807029995,0.9501307475414864,23.562400249578367,1039.8603565685612,0.8176755828794542,0.009999999999999998,0.00010000000000000002,-24.63720093551776
15,4096,2,9,6,8.494500847931196,211.49783928913854,0.9630800843380328,23.574891974134182,1044.11678912318,0.816275276209001,0.07299999999999997,0.0010000000000000002,-24.427895449799784
48,8192,1,9,6,9.75285939048293,250.9771212204493,0.9562695201899045,23.604352263056633,1059.7207394630589,0.8137744618986167,0.009999999999999998,0.00010000000000000002,-24.571167960277894
22,4096,2,10,8,10.048412092283124,268.3318277039614,0.9532474350572441,23.619207981459393,1067.8088021604667,0.812586388571184,0.09999999999999994,0.0010000000000000002,-24.832301542441694
53,8192,2,9,12,8.25137148278071,197.78762568595454,0.9655369255595854,23.621662538214757,1065.784620965488,0.8127735088806421,0.009999999999999998,0.00010000000000000002,-24.691081374107995
61,8192,1,11,8,8.597698443981152,209.59279094056257,0.9634813576163757,23.63334935073837,1061.4052911210392,0.8136944085775868,0.009999999999999998,0.00010000000000000002,-24.62552125317606
27,4096,2,11,6,10.697598833563934,307.802454943064,0.9463692664379122,23.637505559258663,1073.543081670532,0.8115465792619487,0.09999999999999994,0.0010000000000000002,-24.840050083022863
56,8192,1,10,12,7.900461271967872,179.76392991001552,0.9686786865177796,23.6386134579977,1057.0704909229694,0.8144579161295544,0.009999999999999998,0.00010000000000000002,-24.70005761799039
31,4096,1,12,8,11.043979186446794,366.152681870483,0.9362032298081935,23.6444276137263,1098.2924568478022,0.8071939676217911,0.09999999999999994,0.0010000000000000002,-24.732256471473463
23,4096,2,10,12,10.224625225309502,309.20043930266553,0.9461267998343663,23.662450234107062,1094.0237297353003,0.8079039207378165,0.09999999999999994,0.0010000000000000002,-25.03578694029252
33,4096,2,12,6,11.249090881182347,359.70336987985684,0.9373261114419427,23.680830233327573,1092.6631685035238,0.8082308683588284,0.09999999999999994,0.0010000000000000002,-25.032572185285638
26,4096,1,11,12,10.732214142814465,361.59816031572325,0.9369960319184141,23.736962383938923,1111.816789649583,0.8047178740349414,0.09999999999999994,0.0010000000000000002,-24.85263087224946
57,8192,2,10,6,9.475149486868085,254.4081858665219,0.9556719868767299,23.744569111833293,1077.3546369763428,0.8105239903764291,0.009999999999999998,0.00010000000000000002,-24.975817954865565
