official_source,source_folder,dataset_id,source_dataset,descriptor,model,split,metric,mean,std,splits,outer_splits,seed,descriptors_npz,relative_json_path
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,PhysChem,RF,test,kendall_tau,0.4900958359932593,0.03645423521547598,5,,1000,../../Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/PhysChem/Bode_PhysChem_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,train,mae,7.868229041280108,0.21293053251541535,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,train,rmse,14.102621159642586,0.4640244301064324,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,train,r2,0.9639459090112635,0.0038057358426520213,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,train,medae,3.176894060140088,0.1558125579372289,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,train,kendall_tau,0.7056806856032174,0.0063219399762259225,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,test,mae,17.77219454938589,1.5684101349215496,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,test,rmse,33.41989374991905,4.443670726193728,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,test,r2,0.7885663274869151,0.053341910591215055,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,test,medae,7.535105470187156,1.0462612394211948,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Bode_2023,SLAP,SL1,SOAP,RF,test,kendall_tau,0.5048907364943104,0.037050208751245185,5,,1000,../../Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP.npz,yieldsmarter/Results/Compare_Complexity/Bode_2023/SOAP/Bode_SOAP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,train,mae,5.023747875089231,0.07143658651093311,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,train,rmse,7.017333663355155,0.08720322465820027,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,train,r2,0.9578333466624863,0.0011225218367296433,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,train,medae,3.4809853160204405,0.08527002037261708,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,train,kendall_tau,0.8272190779614447,0.0019352855579925557,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,test,mae,13.665228198738522,0.481396728035149,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,test,rmse,19.055107067785325,0.7741053564027897,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,test,r2,0.6883274833868185,0.02365229849636212,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,test,medae,9.434197574762958,0.5065251191473723,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,DFT,RF,test,kendall_tau,0.6682566743611335,0.013914267590238526,5,,1000,../../Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/DFT/Denmark_DFT_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,train,mae,4.442893477632503,0.07413838919675222,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,train,rmse,6.6036788447242944,0.10026545686985659,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,train,r2,0.9626559439110727,0.0011711310449376731,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,train,medae,2.674047345168039,0.07416139583503814,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,train,kendall_tau,0.8321825472190529,0.0021594545826414333,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,test,mae,12.05600068639324,0.5273358871203663,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,test,rmse,17.892543335494505,0.8358343772583589,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,test,r2,0.7250461909827262,0.02472694475552353,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,test,medae,7.1426464885052106,0.4091349370665158,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,MFP,RF,test,kendall_tau,0.6840725868058348,0.0127806133304408,5,,1000,../../Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP.npz,yieldsmarter/Results/Compare_Complexity/Denmark_2023/MFP/Denmark_MFP_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,train,mae,5.641082767677295,0.07787460191770318,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,train,rmse,8.078931125979574,0.09056414377572652,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
yieldsmarter/Results/Compare_Complexity,Denmark_2023,BH2,BH2,OHE,RF,train,r2,0.9441114238116206,0.0013828425773513655,5,,1000,,yieldsmarter/Results/Compare_Complexity/Denmark_2023/OHE/Denmark_OHE_metrics_summaries_RF.json
