P__Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind, Dipole X, Dipole Y, Dipole Z, Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV)
P_1185,2208.03421,1105.87018,10.314,6.357,12.623,9.889,7.612,0.123568,0.327741,0.023294,3.05119,0.102165,0.6937,2.2785,-0.4163,2.4179,-0.233033,-6.341162,-0.018159,-0.494139,0.214874,5.847022
P_1186,2539.35788,1300.59394,15.031,8.715,17.265,9.465,7.318,0.128878,0.338932,0.024503,2.950444,0.105063,-3.1161,4.4126,-0.1312,5.4035,-0.230134,-6.262262,-0.02463,-0.670208,0.205504,5.592055
P_1187,2252.6511,1064.23299,11.858,7.129,14.226,8.676,7.507,0.117086,0.317167,0.021612,3.152914,0.119019,0.7094,3.8751,1.8034,4.3327,-0.216178,-5.882515,-0.016755,-0.455917,0.199424,5.426598
P_1188,2398.48512,1237.79708,12.462,7.431,14.696,10.744,8.217,0.125573,0.33519,0.023522,2.983381,0.093671,-1.9382,1.0331,-2.7843,3.5463,-0.241525,-6.572236,-0.009185,-0.249935,0.23234,6.322301
P_1189,2027.32117,1051.09216,10.365,6.382,12.495,10.288,7.213,0.121194,0.358362,0.020493,2.790477,0.094464,-1.7608,2.85,0.9355,3.4782,-0.240734,-6.550694,-0.007792,-0.212036,0.232941,6.338657
P_1190,2088.78708,1077.63714,10.481,6.441,12.511,10.559,7.169,0.115565,0.349996,0.019079,2.857174,0.104893,-1.0428,0.9966,2.904,3.2425,-0.230303,-6.266875,-0.006309,-0.171686,0.223994,6.095189
P_1191,2337.50334,1249.13587,12.451,7.425,14.734,11.549,7.337,0.12098,0.345017,0.021211,2.898405,0.092925,2.3361,-0.9362,2.1579,3.3152,-0.242273,-6.592572,-0.008246,-0.224393,0.234026,6.368179
P_1192,2928.44657,1409.15142,12.765,7.583,14.979,9.13,8.241,0.115771,0.352755,0.018997,2.834832,0.097961,-4.1337,-2.0866,1.2928,4.8076,-0.237236,-6.45551,-0.001532,-0.04169,0.235704,6.41382
P_1193,2353.89194,1086.44849,9.739,6.07,11.031,9.291,9.482,0.125321,0.325606,0.024117,3.071198,0.104023,0.1482,4.0644,0.8956,4.1645,-0.231175,-6.290589,-0.01555,-0.423127,0.215625,5.867462
P_1194,1904.02341,982.22639,9.623,6.012,11.991,10.339,6.983,0.119194,0.356712,0.019914,2.803382,0.096589,1.0849,1.8688,2.5817,3.3666,-0.238608,-6.492859,-0.005945,-0.161773,0.232663,6.331086
P_1195,1653.76006,903.63625,8.776,5.588,11.262,10.633,7.057,0.128465,0.368562,0.022389,2.713248,0.088972,-3.3581,-0.6805,-2.3941,4.1799,-0.246226,-6.700148,-0.010085,-0.274438,0.23614,6.42571
P_1196,1805.01462,919.35511,9.563,5.982,11.733,9.509,7.08,0.125672,0.370859,0.021293,2.696443,0.091185,-1.2765,-1.1687,3.4342,3.8457,-0.244013,-6.639931,-0.005742,-0.156244,0.238271,6.483687
P_1197,3533.66029,1623.6501,12.209,7.305,14.721,12.057,10.588,0.122157,0.319086,0.023383,3.133954,0.099466,3.9992,3.4859,-1.3875,5.4836,-0.235731,-6.414562,-0.008964,-0.24392,0.226767,6.170642
P_1198,2025.67216,1015.61477,10.177,6.289,12.32,9.879,7.402,0.128317,0.351579,0.023416,2.844308,0.091433,1.1415,3.1583,2.6609,4.2846,-0.243765,-6.633181,-0.016862,-0.458847,0.226903,6.174334
P_1199,2063.36717,1076.68603,11.521,6.96,13.842,9.194,6.891,0.14184,0.322462,0.031195,3.101143,0.093596,-2.973,2.8837,-2.0817,4.6355,-0.241602,-6.574332,-0.038358,-1.043783,0.203244,5.530549
P_1200,1990.83001,1027.48617,11.753,7.077,14.078,9.181,6.902,0.121231,0.356189,0.020631,2.807496,0.094777,4.1074,-1.9332,2.3297,5.1025,-0.240421,-6.542181,-0.014492,-0.394348,0.225929,6.147833
P_1201,2068.7523,1075.85053,10.227,6.448,11.601,12.027,7.027,0.146047,0.341052,0.031271,2.932106,0.079334,-0.9084,-0.4913,2.9492,3.1248,-0.255865,-6.96243,-0.04096,-1.114591,0.214904,5.847839
P_1202,2319.61615,1210.41427,14.368,8.384,16.499,10.282,7.686,0.150805,0.316205,0.035961,3.162505,0.084608,2.7623,-0.8234,1.1947,3.1202,-0.250589,-6.818869,-0.054874,-1.493187,0.195715,5.325682
P_1203,2055.74388,1093.76042,9.589,5.994,11.739,11.158,8.427,0.112274,0.338064,0.018644,2.958018,0.118928,2.5084,3.0641,1.0745,4.1031,-0.216269,-5.884982,-0.006112,-0.16632,0.210157,5.718662
